1	17486 4.211   16.46   44.103  42.867  46.479   0.017   37.222  83.257  26.137  43.188
2	17650 4.211   16.423  45.277  43.178  47.14    0.073   56.083  35.57   62.943  56.083
3	17810 4.106   16.383  44.285  42.952  46.662   0.067   64.098  88.094  70.942  64.098
4	17974 4.205   16.356  45.39   43.242  47.243   0.082   59.023  67.254  69.546  59.023
5	18139 4.205   16.321  44.344  43.015  46.774   0.104   59.556  101.01  55.525  59.556
6	18303 4.19    16.29   45.451  43.284  47.309   0.06    44.561  58.278  39.669  44.561
7	18467 4.211   16.262  44.394  43.06   46.829   0.07    73.352  92.15   67.522  73.352
8	18626 4.165   16.241  45.613  43.044  46.92   -0.129   66.534  77.027  64.289  66.534
9	18791 4.196   16.225  44.537  43.089  46.944   0.085   79.758  52.992  91.933  79.758
10	18950 4.171   16.209  45.622  43.042  46.933  -0.116   47.715  52.361  47.065  47.715
11	19114 4.168   16.196  44.6    43.134  47.026   0.095   40.315  41.629  49.171  40.315
12	19279 4.152   16.19   45.64   43.054  46.954  -0.123   28.599  49.56   35.899  28.599
13	19443 4.159   16.186  44.626  43.156  47.069   0.095   35.891  30.525  39.772  35.891
14	19607 4.156   16.18   45.633  43.059  46.967  -0.123   48.591  67.339  40.789  48.591
15	19767 4.152   16.172  44.664  43.173  47.108   0.101   32.756  33.874  43.855  32.756
16	19931 4.128   16.17   45.577  43.01   46.838  -0.15    39.933  58.409  49.981  39.933
17	20090 4.156   16.163  44.718  43.198  47.166   0.116   41.563  48.422  50.728  41.563
18	20254 4.134   16.157  45.442  42.98   46.826  -0.16    47.137  43.821  55.838  47.137
19	20419 4.137   16.152  44.732  43.208  47.18    0.107   51.479  44.534  61.386  51.479
20	20583 4.115   16.145  45.418  42.973  46.82   -0.169   60.194  71.456  55.325  60.194
21	20747 4.131   16.132  44.741  43.206  47.191   0.101   61.525  71.105  61.373  61.525
22	20906 4.115   16.122  45.269  42.938  46.747  -0.166   49.621  51.021  35.614  49.621
23	21071 4.134   16.11   44.76   43.213  47.207   0.104   31.908  28.34   35.266  31.908
24	21230 4.125   16.099  45.106  42.89   46.671  -0.169   59.626  43.366  55.183  59.626
25	21394 4.115   16.091  44.79   43.215  47.223   0.107   49.955  15.35   55.152  49.955
26	21559 4.1     16.087  45.064  42.87   46.646  -0.172   57.6    71.708  37.696  57.6
