1	12228 4.069   17.061  45.208  43.414  47.216  5.513   74.386  49.673  81.6    71.815
2	12388 4.078   16.877  44.266  43.067  46.54   5.281   69.75   94.44   73.876  77.986
3	12552 4.094   16.744  45.493  43.373  47.219  5.43    42.808  57.897  40.566  45.459
4	12712 4.121   16.655  44.476  43.154  46.78   5.433   52.445  34.922  50.479  47.081
5	12876 4.069   16.591  45.738  43.193  46.972  5.318   58.646  97.676  49.557  63.859
6	13035 4.097   16.549  44.672  43.223  46.969  5.473   60.601  59.286  43.795  51.869
7	13195 4.125   16.525  45.113  42.902  46.469  5.275   31.861  31.235  60.062  45.805
8	13354 4.137   16.502  44.88   43.27   47.123  5.532   51.127  27.893  68.241  53.876
9	13519 4.134   16.486  44.215  42.809  46.299  5.303   62.655  29.937  52.431  49.363
10	13678 4.146   16.478  45.118  43.299  47.243  5.541   78.156  71.141  26.48   50.564
11	13837 4.177   16.465  44.177  42.947  46.541  5.358  -25.196  36.323  43.499  24.531
12	14002 4.168   16.463  45.368  43.302  47.275  5.482   99.638  39.389  74.299  71.906
13	14161 4.159   16.459  44.389  43.062  46.763  5.423   96.247  5.363   23.77   37.288
14	14325 4.168   16.46   45.641  43.193  47.101  5.352   106.79  55.575  52.821  67.003
15	14485 4.193   16.459  44.59   43.156  46.954  5.489   83.986  61.745  26.067  49.466
16	14649 4.168   16.463  45.409  42.948  46.66   5.275   54.121  27.484  49.376  45.089
17	14814 4.187   16.462  44.77   43.223  47.097  5.52    87.546  32.29   32.6    46.259
18	14979 4.193   16.46   44.713  42.815  46.389  5.293   40.899  54.379  36.013  41.826
19	15138 4.152   16.465  44.978  43.257  47.225  5.544   116.01  46.442  59.624  70.424
20	15298 4.221   16.465  44.067  42.877  46.453  5.327   78.077  62.485  53.31   61.795
21	15462 4.202   16.46   45.355  43.181  47.126  5.414   55.086  58.308  41.304  49.001
22	15622 4.214   16.46   44.363  43	  46.73   5.43    93.194  72.199  44.623  63.66
23	15786 4.187   16.46   45.657  43.059  46.928  5.318   88.757  79.31   68.531  76.282
24	15945 4.224   16.457  44.612  43.127  46.963  5.489   118.22  81.801  58.315  79.163
25	16105 4.199   16.45   45.038  42.827  46.465  5.265   57.507  64.094  72.061  66.431
26	16264 4.211   16.446  44.899  43.243  47.184  5.547   87.317  16.249  68.38   60.081
